SKU,Date,Units Sold,Sales Amount
SKU-SALES,2026-01-01,12,360
SKU-SALES,2026-01-02,12,360
SKU-SALES,2026-01-03,11,330
SKU-SALES,2026-01-04,10,300
SKU-SALES,2026-01-05,8,240
SKU-SALES,2026-01-06,6,180
SKU-SALES,2026-01-07,2,60
SKU-ADS,2026-01-01,10,300
SKU-ADS,2026-01-02,11,330
SKU-ADS,2026-01-03,10,300
SKU-ADS,2026-01-04,12,360
SKU-ADS,2026-01-05,11,330
SKU-ADS,2026-01-06,10,300
SKU-ADS,2026-01-07,10,300
SKU-INV,2026-01-01,10,300
SKU-INV,2026-01-02,10,300
SKU-INV,2026-01-03,10,300
SKU-INV,2026-01-04,10,300
SKU-INV,2026-01-05,10,300
SKU-INV,2026-01-06,10,300
SKU-INV,2026-01-07,10,300
SKU-PROFIT,2026-01-01,9,270
SKU-PROFIT,2026-01-02,9,270
SKU-PROFIT,2026-01-03,10,300
SKU-PROFIT,2026-01-04,10,300
SKU-PROFIT,2026-01-05,10,300
SKU-PROFIT,2026-01-06,10,300
SKU-PROFIT,2026-01-07,10,300
SKU-QUALITY,2026-01-01,18,540
SKU-QUALITY,2026-01-02,19,570
SKU-QUALITY,2026-01-03,20,600
SKU-QUALITY,2026-01-04,20,600
SKU-QUALITY,2026-01-05,21,630
SKU-QUALITY,2026-01-06,20,600
SKU-QUALITY,2026-01-07,20,600
SKU-OK,2026-01-01,8,240
SKU-OK,2026-01-02,8,240
SKU-OK,2026-01-03,9,270
SKU-OK,2026-01-04,8,240
SKU-OK,2026-01-05,9,270
SKU-OK,2026-01-06,8,240
SKU-OK,2026-01-07,9,270
